Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
88,8.9E-07,2.53E-06,2.34E-06,9.86E-06,9.87E-06,1.674E-05,4.626E-05,7.137E-05,8.628E-05,0.00019493,0.00028385,0.00033921,0.00047071,0.00042104,0.00051531,0.00111024,0.0009319,0.00122798,0.00118408,0.0009616,0.00114327
89,9.2E-07,2.17E-06,3.07E-06,4.16E-06,8.1E-06,1.251E-05,2.791E-05,5.957E-05,7.533E-05,0.00016952,0.00015384,0.00031819,0.00040569,0.00052928,0.00045671,0.00098595,0.00093332,0.00177185,0.00131985,0.00100094,0.00075709
90,1.36E-06,1.61E-06,2.17E-06,3.6E-06,8.7E-06,1.437E-05,2.369E-05,5.091E-05,5.325E-05,0.00011929,0.00016411,0.00027593,0.00043051,0.00040417,0.00049774,0.00125755,0.0009278,0.00163008,0.00111502,0.00096823,0.00094561
91,6.8E-07,1.43E-06,2.03E-06,2.63E-06,9.72E-06,1.368E-05,2.79E-05,3.772E-05,5.165E-05,8.605E-05,0.00013136,0.00030863,0.00046044,0.00048231,0.0005622,0.00099678,0.00072353,0.00097158,0.00087564,0.0017767,0.0008442
92,7.1E-07,1E-06,2.01E-06,2.42E-06,1.032E-05,1.192E-05,1.689E-05,3.699E-05,4.39E-05,0.00014406,0.00012162,0.00025645,0.00032014,0.00043489,0.00059145,0.00075262,0.0007335,0.00096726,0.00099469,0.00157375,0.00063824
93,6.9E-07,8.3E-07,3.55E-06,2.64E-06,9.44E-06,1.082E-05,1.647E-05,2.303E-05,4.494E-05,0.00011869,9.982E-05,0.00018152,0.00032053,0.00028332,0.00063873,0.00069106,0.00075625,0.0011195,0.00109095,0.00147621,0.00078837
94,6.3E-07,8.6E-07,1.62E-06,1.97E-06,8.12E-06,7.91E-06,1.505E-05,2.74E-05,2.728E-05,0.00010064,0.0001274,0.00021354,0.00025138,0.00031008,0.00046871,0.00071306,0.00061658,0.00110866,0.0012508,0.00141374,0.00099954
95,6.3E-07,6.3E-07,1.65E-06,1.73E-06,7.07E-06,8.78E-06,1.484E-05,2.542E-05,2.247E-05,0.0001238,9.8E-05,0.00018034,0.00032528,0.00027853,0.00047935,0.00070434,0.0004528,0.00111824,0.001119,0.00134967,0.00083508
96,4.2E-07,5.9E-07,1.14E-06,1.39E-06,6.6E-06,9.58E-06,1.345E-05,2.374E-05,1.529E-05,5.936E-05,8.156E-05,0.00012576,0.00028337,0.00017488,0.00043549,0.00062249,0.00039022,0.00096525,0.00076508,0.00070085,0.0009064
97,3.8E-07,4.1E-07,7.8E-07,1.44E-06,4.36E-06,4.02E-06,1.145E-05,2.435E-05,1.577E-05,5.956E-05,6.673E-05,0.00011477,0.00032737,0.00018265,0.00046678,0.00055376,0.00054804,0.00052067,0.00069566,0.00103503,0.00075953
98,3.9E-07,3.7E-07,6.8E-07,1.08E-06,5.32E-06,7.36E-06,1.319E-05,1.904E-05,1.553E-05,6.862E-05,5.567E-05,0.0001095,0.00026667,0.00018562,0.00015964,0.00065613,0.00036746,0.00031825,0.00068147,0.00106459,0.00084158
99,3.9E-07,5.4E-07,6.6E-07,6.4E-07,2.77E-06,3.1E-06,7.18E-06,1.64E-05,9.52E-06,3.426E-05,5.511E-05,9.275E-05,0.00026786,0.00017432,0.00022452,0.00048782,0.00036115,0.00034315,0.00050574,0.00075932,0.00077083
100,3.7E-07,4.4E-07,6.4E-07,6.3E-07,2.17E-06,4.24E-06,6.01E-06,1.611E-05,9.93E-06,2.121E-05,5.148E-05,0.00011145,0.00019687,0.0001326,0.00017179,0.00033984,0.00025696,0.00032981,0.00032043,0.0006072,0.00118413
101,3E-07,3.3E-07,5.8E-07,3.9E-07,1.41E-06,2.37E-06,4.72E-06,1.013E-05,5.89E-06,1.12E-05,3.928E-05,8.421E-05,0.00014451,0.00012303,0.00015879,0.00023679,0.00017504,0.00019999,0.0003288,0.00060757,0.00062008
102,,,3.9E-07,3.4E-07,1.18E-06,1.78E-06,2.6E-06,1.146E-05,2.68E-06,7.41E-06,4.183E-05,4.745E-05,0.00020108,7.918E-05,0.00011718,0.00018875,0.00011609,0.00032032,0.00043221,0.00081255,0.00113515
