Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
59,1.41E-06,2.21E-06,1.13E-06,2.02E-06,3.62E-06,1.3E-05,1.346E-05,1.946E-05,5.245E-05,5.859E-05,7.643E-05,4.455E-05,0.0001107,9.085E-05,5.888E-05,5.974E-05,2.511E-05,9.58E-06,1.779E-05,1.438E-05,2.88E-06
60,1.41E-06,1.87E-06,1.13E-06,2.2E-06,3E-06,1.112E-05,1.043E-05,1.451E-05,4.182E-05,4.609E-05,5.62E-05,5.516E-05,0.0001079,7.805E-05,5.332E-05,3.977E-05,2.444E-05,6.82E-06,1.029E-05,9.31E-06,2.61E-06
61,1.41E-06,1.47E-06,1.08E-06,2.2E-06,2.38E-06,9.76E-06,7.72E-06,1.262E-05,4.194E-05,2.364E-05,5.132E-05,3.039E-05,8.779E-05,5.473E-05,5.335E-05,3.884E-05,2.188E-05,6.41E-06,8.96E-06,9.69E-06,3.35E-06
62,1.41E-06,7.2E-07,1.08E-06,2.2E-06,2.52E-06,7.58E-06,6.77E-06,1.056E-05,3.967E-05,1.601E-05,3.143E-05,2.884E-05,7.89E-05,5.05E-05,4.121E-05,3.942E-05,1.11E-05,5.72E-06,7.59E-06,6.24E-06,2.43E-06
63,1.41E-06,,1.15E-06,1.96E-06,2.36E-06,2.73E-06,5.25E-06,1.014E-05,3.173E-05,2.477E-05,1.864E-05,2.637E-05,7.482E-05,3.901E-05,2.427E-05,2.589E-05,7.73E-06,4.71E-06,7.74E-06,1.92E-06,3.13E-06
64,1.41E-06,,1.15E-06,2.1E-06,1.57E-06,2.49E-06,5.39E-06,1.112E-05,2.204E-05,7.15E-06,2.783E-05,2.449E-05,6E-05,4.077E-05,2.222E-05,1.074E-05,6.69E-06,3.37E-06,6.05E-06,1.92E-06,5.7E-07
65,1.33E-06,,1.31E-06,9.3E-07,1.63E-06,2.45E-06,4.32E-06,8.64E-06,1.729E-05,6.5E-06,1.793E-05,1.533E-05,4.187E-05,4.219E-05,2.135E-05,1.023E-05,3.7E-06,2.77E-06,3.9E-06,1.77E-06,
66,1.33E-06,,1.05E-06,,1.34E-06,2.45E-06,3.2E-06,5.33E-06,1.615E-05,5.57E-06,1.142E-05,1.04E-05,3.735E-05,2.804E-05,1.968E-05,8.08E-06,2.65E-06,2.01E-06,3.36E-06,2.34E-06,
67,1.33E-06,,1.05E-06,,1.32E-06,1.88E-06,3.2E-06,4.55E-06,1.383E-05,5.1E-06,1.138E-05,6.25E-06,2.398E-05,1.805E-05,1.701E-05,7.25E-06,2.82E-06,1.62E-06,3.01E-06,1.71E-06,
68,1.54E-06,,1.05E-06,,1.32E-06,1.98E-06,3.2E-06,4.91E-06,1.235E-05,5.11E-06,1.068E-05,7.36E-06,1.98E-05,1.346E-05,1.308E-05,5.22E-06,2.34E-06,1.45E-06,2E-06,1.65E-06,
69,1.54E-06,,1.05E-06,,1.32E-06,1.72E-06,3.2E-06,2.97E-06,9.36E-06,4.55E-06,6.88E-06,4.9E-06,1.25E-05,1.183E-05,9.71E-06,3.78E-06,2.34E-06,1.41E-06,1.84E-06,1.65E-06,
70,1.54E-06,,1.05E-06,,1.32E-06,1.8E-06,3.2E-06,2.51E-06,7.46E-06,6.26E-06,5.14E-06,4.88E-06,9.86E-06,8.54E-06,9.33E-06,2.69E-06,2.34E-06,1.23E-06,9.8E-07,1.53E-06,
71,1.54E-06,,1.05E-06,,1.32E-06,1.9E-06,3.05E-06,2.53E-06,7.35E-06,2.98E-06,4.48E-06,3.64E-06,6.26E-06,5E-06,9.17E-06,2.25E-06,2.25E-06,1.12E-06,,1.53E-06,
72,1.54E-06,,1.05E-06,,2.07E-06,1.33E-06,2.32E-06,2.53E-06,4.51E-06,3.69E-06,4.41E-06,3.07E-06,4.23E-06,4.17E-06,8.35E-06,2.48E-06,2.25E-06,1.12E-06,,1.53E-06,
73,1.32E-06,,1.05E-06,,2.07E-06,1.38E-06,2.32E-06,2.58E-06,4.21E-06,2.08E-06,3.94E-06,2.4E-06,3.91E-06,3.17E-06,6.95E-06,2.23E-06,2.14E-06,8.6E-07,,1.53E-06,
74,1.32E-06,,1.05E-06,,2.07E-06,1.33E-06,2.32E-06,2.58E-06,2.44E-06,2.14E-06,4.08E-06,1.57E-06,2.25E-06,3.17E-06,6.88E-06,1.93E-06,1.95E-06,,,1.84E-06,
75,1.12E-06,,1.05E-06,,1.35E-06,1.04E-06,2.29E-06,2.48E-06,1.86E-06,2.8E-06,2.67E-06,1.57E-06,3.89E-06,3.17E-06,5.99E-06,1.93E-06,1.71E-06,,,7.7E-07,
76,9.9E-07,,1.05E-06,,5E-07,7.1E-07,2.29E-06,1.16E-06,1.86E-06,3.2E-06,1.91E-06,1.3E-06,3.02E-06,3.13E-06,5.57E-06,1.9E-06,1.71E-06,,,,
77,,,1.05E-06,,,,2.24E-06,1.16E-06,1.78E-06,8.5E-07,3.04E-06,1.23E-06,2.38E-06,3.13E-06,3.64E-06,1.38E-06,1.71E-06,,,,
78,,,1.05E-06,,,,2.33E-06,1.1E-06,1.78E-06,,1.88E-06,1.36E-06,2.38E-06,3.13E-06,2.59E-06,1.38E-06,1.71E-06,,,,
79,,,1.05E-06,,,,2.33E-06,1.1E-06,1.78E-06,,1.9E-06,1.2E-06,2.38E-06,2.62E-06,1.5E-06,1.38E-06,1.88E-06,,,,
80,,,1.05E-06,,,,2.33E-06,2.46E-06,1.78E-06,,2.11E-06,7.4E-07,2.32E-06,2.4E-06,1.55E-06,1.32E-06,1.58E-06,,,,
81,,,1.05E-06,,,,2.33E-06,1.36E-06,1.78E-06,,1.87E-06,,2.32E-06,3.37E-06,1.59E-06,1.32E-06,9.1E-07,,,,
82,,,1.05E-06,,,,2.33E-06,1.36E-06,1.78E-06,,1.87E-06,,2.28E-06,2.72E-06,1.53E-06,1.32E-06,,,,,
83,,,1.05E-06,,,,2.33E-06,1.36E-06,1.76E-06,,1.39E-06,,1.98E-06,2.72E-06,1.52E-06,1.32E-06,,,,,
84,,,1.05E-06,,,,2.33E-06,1.36E-06,1.76E-06,,1.3E-06,,1.8E-06,2.72E-06,1.17E-06,1.32E-06,,,,,
85,,,1.05E-06,,,,2.33E-06,1.08E-06,1.76E-06,,1.07E-06,,2.53E-06,2.72E-06,9E-07,1.32E-06,,,,,
86,,,1.05E-06,,,,2.33E-06,1.34E-06,1.76E-06,,1.14E-06,,1.89E-06,2.72E-06,,1.32E-06,,,,,
87,,,1.05E-06,,,,2.33E-06,1.34E-06,2.2E-06,,1.03E-06,,1.34E-06,2.69E-06,,1.32E-06,,,,,
88,,,1.05E-06,,,,2.33E-06,1.34E-06,8.1E-07,,1.03E-06,,1.6E-06,2.69E-06,,1.32E-06,,,,,
89,,,1E-06,,,,2.33E-06,1.15E-06,,,1.1E-06,,1.45E-06,2.62E-06,,1.32E-06,,,,,
90,,,,,,,2.33E-06,1.15E-06,,,1.1E-06,,1.24E-06,2.68E-06,,1.32E-06,,,,,
91,,,,,,,2.33E-06,1.15E-06,,,1.1E-06,,1.24E-06,2.58E-06,,1.32E-06,,,,,
92,,,,,,,2.33E-06,1.15E-06,,,1.16E-06,,1.24E-06,2.58E-06,,1.32E-06,,,,,
93,,,,,,,2.33E-06,1.15E-06,,,1.05E-06,,1.24E-06,2.28E-06,,1.32E-06,,,,,
94,,,,,,,2.23E-06,1.15E-06,,,1.05E-06,,1.24E-06,1.11E-06,,1.32E-06,,,,,
95,,,,,,,2.11E-06,1.15E-06,,,1.05E-06,,1.24E-06,1.19E-06,,1.32E-06,,,,,
96,,,,,,,2.05E-06,1.05E-06,,,1.05E-06,,1.24E-06,1.19E-06,,1.32E-06,,,,,
97,,,,,,,2.05E-06,1.05E-06,,,1.05E-06,,1.24E-06,1.19E-06,,1.32E-06,,,,,
98,,,,,,,2.05E-06,1.05E-06,,,1.05E-06,,1.24E-06,1.19E-06,,1.32E-06,,,,,
99,,,,,,,2.05E-06,1.05E-06,,,1.05E-06,,2.34E-06,1.19E-06,,1.32E-06,,,,,
100,,,,,,,2.05E-06,1.05E-06,,,1.05E-06,,6.9E-07,1.19E-06,,1.32E-06,,,,,
101,,,,,,,2.05E-06,1.05E-06,,,1.05E-06,,,1.19E-06,,1.32E-06,,,,,
102,,,,,,,2.05E-06,1.05E-06,,,1.05E-06,,,1.19E-06,,1.32E-06,,,,,
103,,,,,,,2.05E-06,1.05E-06,,,1.05E-06,,,1.19E-06,,1.32E-06,,,,,
104,,,,,,,2.05E-06,1.05E-06,,,1.05E-06,,,1.19E-06,,1.32E-06,,,,,
105,,,,,,,2.05E-06,1.05E-06,,,1E-06,,,1.29E-06,,1.32E-06,,,,,
106,,,,,,,2.05E-06,1.05E-06,,,,,,1.15E-06,,1.32E-06,,,,,
107,,,,,,,2.05E-06,1.05E-06,,,,,,1.28E-06,,1.32E-06,,,,,
